[2025-12-19 22:32:12.248749] [database] [error] Failed to create object (0, 0): Invalid argument: id (must be valid)
[2025-12-19 22:32:17.387863] [game] [error] Failed to give object 3060 to mobile 2804: Invalid state: Cannot carry that much weight: item a raft weighs 75, current weight 83/100
[2025-12-19 22:32:17.387883] [game] [error] Failed to give object 3060 to mobile 2804: Invalid state: Cannot carry that much weight: item a raft weighs 75, current weight 83/100
[2025-12-19 22:32:17.387913] [game] [error] Failed to give object 3060 to mobile 2802: Invalid state: Cannot carry that much weight: item a raft weighs 75, current weight 80/100
[2025-12-19 22:32:17.387930] [game] [error] Failed to give object 3060 to mobile 2802: Invalid state: Cannot carry that much weight: item a raft weighs 75, current weight 80/100
[2025-12-19 22:32:17.387933] [game] [error] Failed to give object 3060 to mobile 2802: Invalid state: Cannot carry that much weight: item a raft weighs 75, current weight 80/100
[2025-12-19 22:32:17.387949] [game] [error] Failed to give object 3060 to mobile 2802: Invalid state: Cannot carry that much weight: item a raft weighs 75, current weight 80/100
[2025-12-19 22:32:17.387953] [game] [error] Failed to give object 3060 to mobile 2802: Invalid state: Cannot carry that much weight: item a raft weighs 75, current weight 80/100
[2025-12-19 22:32:17.387956] [game] [error] Failed to give object 3060 to mobile 2802: Invalid state: Cannot carry that much weight: item a raft weighs 75, current weight 80/100
[2025-12-19 22:32:17.387958] [game] [error] Failed to give object 3060 to mobile 2802: Invalid state: Cannot carry that much weight: item a raft weighs 75, current weight 80/100
[2025-12-19 22:32:17.387961] [game] [error] Failed to give object 3060 to mobile 2802: Invalid state: Cannot carry that much weight: item a raft weighs 75, current weight 80/100
[2025-12-19 22:32:17.387963] [game] [error] Failed to give object 3060 to mobile 2802: Invalid state: Cannot carry that much weight: item a raft weighs 75, current weight 80/100
[2025-12-19 22:32:17.387986] [game] [error] Failed to give object 3060 to mobile 2803: Invalid state: Cannot carry that much weight: item a raft weighs 75, current weight 80/100
[2025-12-19 22:32:17.388002] [game] [error] Failed to give object 3060 to mobile 2803: Invalid state: Cannot carry that much weight: item a raft weighs 75, current weight 80/100
[2025-12-19 22:32:17.388006] [game] [error] Failed to give object 3060 to mobile 2803: Invalid state: Cannot carry that much weight: item a raft weighs 75, current weight 80/100
