zone_id,zone_name,id,plain_name,level,race,class_name,hp_dice,hp_avg,damage_dice,damage_avg,hit_roll,armor_class,attacks_per_round,dpr_avg
9,Metamorpho's Zone - PRIVATE,18,the giraffe,0,ANIMAL,,0d0+0,0.0,1d3+0,2.0,20,0,1,2.0
9,Metamorpho's Zone - PRIVATE,19,the goat,0,ANIMAL,,0d0+0,0.0,1d3+0,2.0,20,0,1,2.0
9,Metamorpho's Zone - PRIVATE,20,the pelican,0,ANIMAL,,0d0+0,0.0,1d3+0,2.0,20,0,1,2.0
9,Metamorpho's Zone - PRIVATE,21,the horse,0,ANIMAL,,0d0+0,0.0,1d3+0,2.0,20,0,1,2.0
9,Metamorpho's Zone - PRIVATE,22,the chicken,0,ANIMAL,,0d0+0,0.0,1d3+0,2.0,20,0,1,2.0
9,Metamorpho's Zone - PRIVATE,23,the kangaroo,0,ANIMAL,,0d0+0,0.0,1d3+0,2.0,20,0,1,2.0
9,Metamorpho's Zone - PRIVATE,24,the skunk,0,ANIMAL,,0d0+0,0.0,1d3+0,2.0,20,0,1,2.0
16,Rocky Outback,2,a mutant butterfly,0,ANIMAL,,0d0+0,0.0,1d3+0,2.0,0,0,1,2.0
30,Mielikki,208,the elderly man,0,OTHER,,0d0+0,0.0,1d3+0,2.0,20,0,1,2.0
30,Mielikki,301,Rousel the newbie training master,0,OTHER,,0d0+0,0.0,1d3+0,2.0,20,0,1,2.0
43,The Theatre,97,the unfinished mob,0,OTHER,,0d0+0,0.0,1d3+0,2.0,0,0,1,2.0
54,the Misty Caverns,3,the Larva Worm,0,ANIMAL,,0d0+0,0.0,1d3+0,2.0,0,0,1,2.0
54,the Misty Caverns,4,the Larva Worm,0,ANIMAL,,0d0+0,0.0,1d3+0,2.0,0,0,1,2.0
61,"Anduin, the Dwarven Sector",26,a bespectacled dwarf,0,DWARF,,0d0+0,0.0,1d3+0,2.0,0,0,1,2.0
69,Anduin Pastures,8,a pearl white hen,0,ANIMAL,,0d0+0,0.0,1d3+0,2.0,0,0,1,2.0
80,Mielikki Farmlands (Newbie),0,the small green beetle,0,ANIMAL,,0d0+0,0.0,1d3+0,2.0,0,0,1,2.0
80,Mielikki Farmlands (Newbie),1,the small firefly,0,ANIMAL,,0d0+0,0.0,1d3+0,2.0,0,0,1,2.0
80,Mielikki Farmlands (Newbie),2,a bluebottle fly,0,ANIMAL,,0d0+0,0.0,1d3+0,2.0,0,0,1,2.0
85,Cathedral of Betrayal,51,the res quest AI mob,0,OTHER,,0d0+0,0.0,1d3+0,2.0,20,0,1,2.0
100,Ickle,36,the unfinished mob,0,OTHER,,0d0+0,0.0,1d3+0,2.0,20,0,1,2.0
100,Ickle,51,the playful penguin,0,ANIMAL,,0d0+0,0.0,1d3+0,2.0,0,0,1,2.0
133,Miner's Cavern,14,a glowing millipede,0,ANIMAL,,0d0+0,0.0,1d3+0,2.0,20,0,1,2.0
169,the Haunted House,0,the gremlin,0,HUMANOID,,0d0+0,0.0,1d3+0,2.0,20,0,1,2.0
169,the Haunted House,7,a bat,0,ANIMAL,,0d0+0,0.0,1d3+0,2.0,20,0,1,2.0
300,Ogakh,81,Khargol,0,TROLL,Berserker,0d0+0,0.0,1d3+0,2.0,0,0,1,2.0
302,Bluebonnet Pass,5,a pika,0,ANIMAL,Warrior,0d0+0,0.0,1d3+0,2.0,20,0,1,2.0
365,The Ancient Ruins,1,the mob,0,OTHER,Monk,0d0+0,0.0,1d3+0,2.0,0,0,1,2.0
580,Odaishyozen,102,the unfinished mob,0,OTHER,,0d0+0,0.0,1d3+0,2.0,20,0,1,2.0
9,Metamorpho's Zone - PRIVATE,29,the computer bug,1,OTHER,,1d8+-3,1.5,1d3+0,2.0,20,0,1,2.0
9,Metamorpho's Zone - PRIVATE,31,the small bat,1,ANIMAL,,1d8+-3,1.5,1d3+0,2.0,20,0,1,2.0
9,Metamorpho's Zone - PRIVATE,32,the small Spider,1,OTHER,,1d8+-3,1.5,1d3+0,2.0,20,0,1,2.0
9,Metamorpho's Zone - PRIVATE,39,the bug,1,OTHER,,1d8+-3,1.5,1d3+0,2.0,20,0,1,2.0
9,Metamorpho's Zone - PRIVATE,42,the butterfly,1,OTHER,,1d8+-3,1.5,1d3+0,2.0,20,0,1,2.0
14,GoT Clan Hall,0,an official GoT bean bag,1,OTHER,,1d8+-3,1.5,1d3+0,2.0,10,0,1,2.0
14,GoT Clan Hall,1,the GoT Pastry Table,1,OTHER,,1d8+-3,1.5,1d3+0,2.0,10,0,1,2.0
16,Rocky Outback,5,the lost blind dwarf,1,DWARF,Warrior,1d8+-3,1.5,1d3+0,2.0,10,0,1,2.0
30,Mielikki,62,a furry stray dog,1,ANIMAL,,1d8+-3,1.5,1d3+0,2.0,10,0,1,2.0
30,Mielikki,66,a snarling cur,1,ANIMAL,,1d8+-3,1.5,1d3+0,2.0,10,0,1,2.0
30,Mielikki,90,a kitten,1,ANIMAL,,1d8+-3,1.5,1d3+0,2.0,10,0,1,2.0
30,Mielikki,91,a puppy,1,ANIMAL,,1d8+-3,1.5,1d3+0,2.0,10,0,1,2.0
30,Mielikki,102,a spunky donkey,1,ANIMAL,,1d8+-3,1.5,1d3+0,2.0,20,0,1,2.0
54,the Misty Caverns,8,the Skeleton,1,HUMAN,,1d8+-3,1.5,1d3+0,2.0,10,0,1,2.0
60,"Anduin, the poor sector",31,a drunken gnome,1,GNOME,,1d8+0,4.5,1d3+0,2.0,10,0,1,2.0
62,Anduin - Upper Level,5,a dark tabby cat,1,ANIMAL,,1d8+-3,1.5,1d3+0,2.0,10,0,1,2.0
62,Anduin - Upper Level,7,a burro,1,ANIMAL,Warrior,1d8+-3,1.5,1d3+0,2.0,20,0,1,2.0
69,Anduin Pastures,12,an auburn pony,1,ANIMAL,,1d8+-3,1.5,1d3+0,2.0,20,0,1,2.0
80,Mielikki Farmlands (Newbie),10,the jumping spider,1,ANIMAL,,1d8+-3,1.5,1d3+0,2.0,10,0,1,2.0
80,Mielikki Farmlands (Newbie),11,an ugly cockroach,1,ANIMAL,,1d8+-3,1.5,1d3+0,2.0,10,0,1,2.0
80,Mielikki Farmlands (Newbie),12,a large green grasshopper,1,ANIMAL,,1d8+-3,1.5,1d3+0,2.0,10,0,1,2.0
80,Mielikki Farmlands (Newbie),13,the annoying cricket,1,ANIMAL,,1d8+-3,1.5,1d3+0,2.0,10,0,1,2.0
80,Mielikki Farmlands (Newbie),14,the cute young ladybug,1,ANIMAL,,1d8+-3,1.5,1d3+0,2.0,10,0,1,2.0
80,Mielikki Farmlands (Newbie),15,the striped beetle,1,ANIMAL,,1d8+-3,1.5,1d3+0,2.0,10,0,1,2.0
80,Mielikki Farmlands (Newbie),16,the large black ant,1,ANIMAL,,1d8+-3,1.5,1d3+0,2.0,10,0,1,2.0
86,Kingdom of the Meer Cats,1,a pup,1,ANIMAL,,1d8+-3,1.5,1d3+0,2.0,20,0,1,2.0
86,Kingdom of the Meer Cats,5,a field mouse,1,ANIMAL,,1d8+-3,1.5,1d3+0,2.0,20,0,1,2.0
86,Kingdom of the Meer Cats,10,a baby Meer Cat,1,ANIMAL,,1d8+-3,1.5,1d3+0,2.0,20,0,1,2.0
86,Kingdom of the Meer Cats,15,a coyote,1,ANIMAL,,1d8+-3,1.5,1d3+0,2.0,20,0,1,2.0
87,Logging Camp,8,a large mule,1,ANIMAL,,1d8+-3,1.5,1d3+0,2.0,10,0,1,2.0
87,Logging Camp,10,a sturdy clydesdale,1,ANIMAL,Warrior,1d8+-3,1.5,2d3+0,4.0,19,0,1,4.0
87,Logging Camp,14,a huge ox,1,ANIMAL,,1d8+-3,1.5,1d3+0,2.0,10,0,1,2.0
